2017-05-19~[2060, 822]
2017-05-18~[1833, 743]
2017-05-17~[2909, 1174]
2017-05-16~[2437, 970]
2017-05-15~[2432, 943]
2017-05-14~[2608, 978]
2017-05-13~[3075, 1605]
2017-05-12~[3011, 1109]
2017-05-11~[3380, 1165]
2017-05-10~[2573, 1074]
2017-05-09~[3453, 1294]
2017-05-08~[3511, 1192]
2017-05-07~[3460, 1126]
2017-05-06~[2114, 879]
2017-05-05~[2958, 1523]
2017-05-04~[3388, 1496]
2017-05-03~[5667, 2177]
2017-05-02~[3986, 1444]
2017-05-01~[4110, 1456]
2017-04-30~[401, 130]
2017-04-29~[339, 141]
2017-04-28~[519, 171]
2017-04-27~[425, 147]
2017-04-26~[399, 131]
2017-04-25~[436, 107]
2017-04-24~[2197, 935]
2017-04-23~[2484, 965]
2017-04-22~[2695, 843]
2017-04-21~[3230, 1245]
2017-04-20~[3524, 1546]
2017-04-19~[3108, 1187]
2017-12-14~[4703, 1970]
2017-12-13~[5157, 1925]
2017-04-18~[8040, 2902]
2017-04-17~[2184, 767]
2017-04-16~[2148, 710]
2017-04-15~[1446, 575]
2017-04-14~[1756, 620]
2017-04-13~[2501, 927]
2017-04-12~[2849, 1095]
2017-04-11~[2355, 856]
2017-04-10~[2336, 846]
2017-04-09~[1703, 670]
2017-04-08~[1488, 628]
2017-04-07~[2560, 1180]
2017-04-06~[3012, 1318]
2017-04-05~[4164, 1751]
2017-04-04~[4279, 1522]
2017-04-03~[4018, 1824]
2017-04-02~[5045, 1772]
2017-04-01~[4151, 1704]
2017-03-31~[6847, 2995]
2017-03-30~[10340, 4986]
2017-03-29~[25642, 12853]
2017-03-28~[6493, 2641]
2017-03-27~[5182, 1945]
2017-03-26~[2469, 1005]
2017-03-25~[2926, 1514]
2017-03-24~[2659, 1128]
2017-03-23~[2141, 927]
2017-03-22~[3432, 1422]
2017-03-21~[3829, 1523]
2017-03-20~[4486, 1988]
2017-03-19~[2200, 811]
2017-03-18~[2207, 916]
2017-03-17~[2845, 1279]
2017-03-16~[4040, 1563]
2017-03-15~[2614, 847]
2017-03-14~[675, 312]
2017-03-13~[1308, 485]
2017-03-12~[143, 84]
